station_id,line,station,lat,lon,description,is_active
060.0 053.0,060.0,053.0,37.84564,-123.10878,,true
060.0 060.0,060.0,060.0,37.61544,-123.59918,,true
060.0 070.0,060.0,070.0,37.28251,-124.32792,,true
060.0 080.0,060.0,080.0,36.93829,-125.06789,,true
060.0 090.0,060.0,090.0,36.61104,-125.77484,,true
063.3 052.0,063.3,052.0,37.30725,-122.61818,,true
063.3 055.0,063.3,055.0,37.20472,-122.81999,,true
063.3 060.0,063.3,060.0,37.04386,-123.19999,,true
063.3 070.0,063.3,070.0,36.71064,-123.91108,,true
063.3 080.0,063.3,080.0,36.37132,-124.63516,,true
063.3 090.0,063.3,090.0,36.03605,-125.33151,,true
065.3 052.7,065.3,052.7,36.93533,-122.42705,,true
066.7 050.0,066.7,050.0,36.79082,-122.06514,,true
066.7 055.0,066.7,055.0,36.61487,-122.4194,,true
066.7 060.0,066.7,060.0,36.45154,-122.76738,,true
066.7 090.0,066.7,090.0,35.45008,-124.88438,,true
067.0 070.0,067.0,070.0,36.1207,-123.47453,,true
067.0 080.0,067.0,080.0,35.78872,-124.19335,,true
067.1 047.7,067.1,047.7,36.79678,-121.84589,,true
068.1 055.9,068.1,055.9,36.35624,-122.33089,,true
070.0 051.0,070.0,051.0,36.17777,-121.73589,,true
070.0 055.0,070.0,055.0,36.05138,-122.02923,,true
070.0 060.0,070.0,060.0,35.87796,-122.37232,,true
070.0 063.6,070.0,063.6,35.76278,-122.61589,,true
070.0 066.7,070.0,066.7,35.65972,-122.8362,,true
070.0 070.0,070.0,070.0,35.54595,-123.06419,,true
070.0 080.0,070.0,080.0,35.21302,-123.78173,,true
070.0 090.0,070.0,090.0,34.8771,-124.47616,,true
073.3 050.0,073.3,050.0,35.6334,-121.26129,,true
073.3 052.1,073.3,052.1,35.57649,-121.41856,,true
073.3 055.0,073.3,055.0,35.47606,-121.60726,,true
073.3 060.0,073.3,060.0,35.31261,-121.95693,,true
073.3 070.0,073.3,070.0,34.96481,-122.64882,,true
073.3 080.0,073.3,080.0,34.64258,-123.36662,,true
073.3 090.0,073.3,090.0,34.30891,-124.04878,,true
076.7 000.0,076.7,000.0,33.37983,-124.31505,,true
076.7 049.0,076.7,049.0,35.08721,-120.77619,,true
076.7 051.0,076.7,051.0,35.02195,-120.91889,,true
076.7 055.0,076.7,055.0,34.88849,-121.19729,,true
076.7 060.0,076.7,060.0,34.72509,-121.55046,,true
076.7 070.0,076.7,070.0,34.38432,-122.26067,,true
076.7 080.0,076.7,080.0,34.05444,-122.95346,,true
076.7 090.0,076.7,090.0,33.72418,-123.63382,,true
080.0 000.0,080.0,000.0,32.81863,-123.89868,,true
080.0 050.5,080.0,050.5,34.4577,-120.50816,,true
080.0 051.0,080.0,051.0,34.44378,-120.53705,,true
080.0 055.0,080.0,055.0,34.32643,-120.81653,,true
080.0 060.0,080.0,060.0,34.14493,-121.1444,,true
080.0 070.0,080.0,070.0,33.81849,-121.83462,,true
080.0 080.0,080.0,080.0,33.49142,-122.52449,,true
080.0 090.0,080.0,090.0,33.14288,-123.21028,,true
080.7 059.9,080.7,059.9,34.03772,-121.05263,,true
081.2 053.9,081.2,053.9,34.14716,-120.58321,,true
081.8 046.9,081.8,046.9,34.27977,-120.01268,,true
082.7 046.1,082.7,046.1,34.14649,-119.86644,,true
083.3 000.0,083.3,000.0,32.23562,-123.48927,,true
083.3 010.0,083.3,010.0,31.92984,-124.17948,,true
083.3 039.4,083.3,039.4,34.24682,-119.35134,,true
083.3 040.6,083.3,040.6,34.2198,-119.41575,,true
083.3 042.0,083.3,042.0,34.1726,-119.49382,,true
083.3 051.0,083.3,051.0,33.87327,-120.13582,,true
083.3 055.0,083.3,055.0,33.74104,-120.4147,,true
083.3 060.0,083.3,060.0,33.58672,-120.74478,,true
083.3 070.0,083.3,070.0,33.25059,-121.43278,,true
083.3 080.0,083.3,080.0,32.91189,-122.12042,,true
083.3 090.0,083.3,090.0,32.57732,-122.81228,,true
083.6 051.5,083.6,051.5,33.8202,-120.1314,,true
084.0 041.7,084.0,041.7,34.05828,-119.41786,,true
084.5 043.5,084.5,043.5,33.92207,-119.47439,,true
085.4 035.8,085.4,035.8,34.00436,-118.84803,,true
086.7 000.0,086.7,000.0,31.66137,-123.05853,,true
086.7 010.0,086.7,010.0,31.3285,-123.73561,,true
086.7 033.0,086.7,033.0,33.88894,-118.49737,,true
086.7 035.0,086.7,035.0,33.82314,-118.61773,,true
086.7 040.0,086.7,040.0,33.66195,-118.97133,,true
086.7 045.0,086.7,045.0,33.49267,-119.30925,,true
086.7 050.0,086.7,050.0,33.31619,-119.66675,,true
086.7 055.0,086.7,055.0,33.15964,-120.00067,,true
086.7 060.0,086.7,060.0,32.99588,-120.33664,,true
086.7 070.0,086.7,070.0,32.65569,-121.01954,,true
086.7 080.0,086.7,080.0,32.3301,-121.72512,,true
086.7 090.0,086.7,090.0,31.98952,-122.38408,,true
086.8 032.5,086.8,032.5,33.88578,-118.45124,,true
088.5 030.1,088.5,030.1,33.66824,-118.09272,,true
090.0 000.0,090.0,000.0,31.08024,-122.66729,,true
090.0 010.0,090.0,010.0,30.74752,-123.33434,,true
090.0 020.0,090.0,020.0,30.43387,-123.98518,,true
090.0 027.7,090.0,027.7,33.49002,-117.74956,,true
090.0 028.0,090.0,028.0,33.48257,-117.76916,,true
090.0 030.0,090.0,030.0,33.41782,-117.90062,,true
090.0 035.0,090.0,035.0,33.25342,-118.26258,,true
090.0 037.0,090.0,037.0,33.18136,-118.38318,,true
090.0 045.0,090.0,045.0,32.93356,-118.94706,,true
090.0 053.0,090.0,053.0,32.65107,-119.48336,,true
090.0 060.0,090.0,060.0,32.41558,-119.96351,,true
090.0 070.0,090.0,070.0,32.08716,-120.63811,,true
090.0 080.0,090.0,080.0,31.75232,-121.32822,,true
090.0 090.0,090.0,090.0,31.41752,-121.99384,,true
091.7 026.4,091.7,026.4,33.23634,-117.47077,,true
093.3 000.0,093.3,000.0,30.51329,-122.26129,,true
093.3 010.0,093.3,010.0,30.1913,-122.90005,,true
093.3 020.0,093.3,020.0,29.84914,-123.58195,,true
093.3 026.7,093.3,026.7,32.9479,-117.30829,,true
093.3 028.0,093.3,028.0,32.9179,-117.39044,,true
093.3 030.0,093.3,030.0,32.85788,-117.5384,,true
093.3 035.0,093.3,035.0,32.68239,-117.86659,,true
093.3 040.0,093.3,040.0,32.51142,-118.21222,,true
093.3 045.0,093.3,045.0,32.33904,-118.54896,,true
093.3 050.0,093.3,050.0,32.176,-118.88954,,true
093.3 055.0,093.3,055.0,32.0155,-119.23087,,true
093.3 060.0,093.3,060.0,31.84513,-119.56716,,true
093.3 070.0,093.3,070.0,31.51681,-120.23795,,true
093.3 080.0,093.3,080.0,31.17423,-120.91265,,true
093.3 090.0,093.3,090.0,30.85924,-121.58762,,true
093.4 026.4,093.4,026.4,32.93868,-117.28333,,true
