dataset_id,name,url,platform,base_url,station_based
erdCalCOFIcufes,CalCOFI NOAA Continuous Underway Fish-Egg Sampler (CUFES),https://coastwatch.pfeg.noaa.gov/erddap/tabledap/erdCalCOFIcufes.html,erddap,https://coastwatch.pfeg.noaa.gov/,TRUE
erdCalCOFIeggcnt,CalCOFI NOAA Fish Egg Counts ,https://coastwatch.pfeg.noaa.gov/erddap/tabledap/erdCalCOFIeggcnt.html,erddap,https://coastwatch.pfeg.noaa.gov/,TRUE
erdCalCOFIeggstg,CalCOFI NOAA Fish Egg Stages ,https://coastwatch.pfeg.noaa.gov/erddap/tabledap/erdCalCOFIeggstg.html,erddap,https://coastwatch.pfeg.noaa.gov/,TRUE
erdCalCOFIinvcnt,Invertebrate count (Cephalopods),https://coastwatch.pfeg.noaa.gov/erddap/tabledap/erdCalCOFIinvcnt.html,erddap,https://coastwatch.pfeg.noaa.gov/,TRUE
erdCalCOFIinvsiz,Invertebrate size (Cephalopods),https://coastwatch.pfeg.noaa.gov/erddap/tabledap/erdCalCOFIinvsiz.html,erddap,https://coastwatch.pfeg.noaa.gov/,TRUE
erdCalCOFIlrvcnt,CalCOFI NOAA Fish Larvae Counts ,https://coastwatch.pfeg.noaa.gov/erddap/tabledap/erdCalCOFIlrvcnt.html,erddap,https://coastwatch.pfeg.noaa.gov/,TRUE
erdCalCOFIlrvsiz,CalCOFI NOAA Fish Larvae Sizes ,https://coastwatch.pfeg.noaa.gov/erddap/tabledap/erdCalCOFIlrvsiz.html,erddap,https://coastwatch.pfeg.noaa.gov/,TRUE
erdCalCOFIlrvstg,CalCOFI NOAA Fish Larvae Stages ,https://coastwatch.pfeg.noaa.gov/erddap/tabledap/erdCalCOFIlrvstg.html,erddap,https://coastwatch.pfeg.noaa.gov/,TRUE
siocalcofiHydroBottle,CalCOFI SIO Hydrographic Bottle Data ,https://coastwatch.pfeg.noaa.gov/erddap/tabledap/siocalcofiHydroBottle.html,erddap,https://coastwatch.pfeg.noaa.gov/,TRUE
siocalcofiHydroCast,CalCOFI SIO Hydrographic Cast Data ,https://coastwatch.pfeg.noaa.gov/erddap/tabledap/siocalcofiHydroCast.html,erddap,https://coastwatch.pfeg.noaa.gov/,TRUE
erdCalCOFIzoovol,Zooplankton biovolume,https://coastwatch.pfeg.noaa.gov/erddap/tabledap/erdCalCOFIzoovol.html,erddap,https://coastwatch.pfeg.noaa.gov/,FALSE
