bentheuphausia amblyops
euphausia brevis
euphausia diomedeae
euphausia distinguenda
euphausia eximia
euphausia gibboides
euphausia hemigibba
euphausia lamelligera
euphausia mutica
euphausia pacifica
euphausia recurva
euphausia tenera
hansarsia atlantica
hansarsia difficilis
hansarsia gracilis
hansarsia microps
hansarsia tenella
nematobrachion boopis
nematobrachion flexipes
nyctiphanes simplex
stylocheiron abbreviatum
stylocheiron affine
stylocheiron carinatum
stylocheiron elongatum
stylocheiron longicorne
stylocheiron maximum
stylocheiron suhmi
tessarabrachion oculatum
thysanoessa gregaria
thysanoessa longipes
thysanoessa spinifera
thysanopoda astylata
thysanopoda cornuta
thysanopoda cristata
thysanopoda egregia
thysanopoda monacantha
thysanopoda obtusifrons
thysanopoda orientalis
thysanopoda pectinata
